long, lat, coord_x, coord_y
-58.47756361,-34.64501453, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.4775587,-34.64504671, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.47755064,-34.64509097, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.47812929,-34.64456708, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.47812112,-34.64459791, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.47810335,-34.64464073, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.47809517,-34.64467688, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.47816489,-34.64416918, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.47814373,-34.64419063, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.47810326,-34.64417586, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.45562468,-34.68415412, AV. - ROCA, CNEL.
-58.45560985,-34.68398185, AV. - ROCA, CNEL.
-58.45541995,-34.68425867, AV. - ROCA, CNEL.
-58.4553343,-34.68409262, AV. - ROCA, CNEL.
-58.45484098,-34.68372039, GRAL., AV. - ROCA
-58.45472936,-34.68360356, GRAL., AV. - ROCA
-58.45462504,-34.68351738, GRAL., AV. - ROCA
-58.45448734,-34.68341587, GRAL., AV. - ROCA
-58.45435334,-34.68331436, GRAL., AV. - ROCA
-58.45424903,-34.68322213, GRAL., AV. - ROCA
-58.45413369,-34.68311449, GRAL., AV. - ROCA
-58.45404804,-34.68302525, GRAL., AV. - ROCA
-58.45395126,-34.68291454, GRAL., AV. - ROCA
-58.45382098,-34.6828161, GRAL., AV. - ROCA
-58.4614135,-34.68209671, AV. - ROCA, CNEL.
-58.46122362,-34.68212438, AV. - ROCA, CNEL.
-58.46108591,-34.68215512, AV. - ROCA, CNEL.
-58.4610189,-34.68221516, AV. - ROCA, CNEL.
-58.46087366,-34.68228592, AV. - ROCA, CNEL.
-58.46078614,-34.68241969, AV. - ROCA, CNEL.
-58.46076388,-34.68233973, AV. - ROCA, CNEL.
-58.4606373,-34.68232125, AV. - ROCA, CNEL.
-58.46059812,-34.68239048, AV. - ROCA, CNEL.
-58.46046783,-34.6824689, AV. - ROCA, CNEL.
-58.46041567,-34.68242274, AV. - ROCA, CNEL.
-58.46029094,-34.68244735, AV. - ROCA, CNEL.
-58.46018116,-34.68247196, AV. - ROCA, CNEL.
-58.46012343,-34.68253497, AV. - ROCA, CNEL.
-58.46007509,-34.68241192, AV. - ROCA, CNEL.
-58.46004716,-34.68249656, AV. - ROCA, CNEL.
-58.45990933,-34.68256417, AV. - ROCA, CNEL.
-58.45983862,-34.68242733, AV. - ROCA, CNEL.
-58.45957236,-34.68257498, AV. - ROCA, CNEL.
-58.45955566,-34.68250728, AV. - ROCA, CNEL.
-58.45942166,-34.68260112, AV. - ROCA, CNEL.
-58.45930991,-34.68266872, AV. - ROCA, CNEL.
-58.45924662,-34.68262419, AV. - ROCA, CNEL.
-58.46279575,-34.67903798, AV. - ROCA, CNEL.
-58.46278277,-34.67895271, AV. - ROCA, CNEL.
-58.46277622,-34.67911334, AV. - ROCA, CNEL.
-58.46272788,-34.67892882, AV. - ROCA, CNEL.
-58.46269056,-34.67919023, AV. - ROCA, CNEL.
-58.46267758,-34.67928642, AV. - ROCA, CNEL.
-58.46265619,-34.67910802, AV. - ROCA, CNEL.
-58.46263295,-34.67938017, AV. - ROCA, CNEL.
-58.46262542,-34.67954242, AV. - ROCA, CNEL.
-58.46260588,-34.67972082, AV. - ROCA, CNEL.
-58.46258352,-34.67922719, AV. - ROCA, CNEL.
-58.46258166,-34.67962013, AV. - ROCA, CNEL.
-58.46257337,-34.67949167, AV. - ROCA, CNEL.
-58.46256682,-34.67912957, AV. - ROCA, CNEL.
-58.4625654,-34.67981844, AV. - ROCA, CNEL.
-58.46251466,-34.6789811, AV. - ROCA, CNEL.
-58.46251095,-34.6797008, AV. - ROCA, CNEL.
-58.46023931,-34.68289635, AV. - ROCA, CNEL.
-58.46016674,-34.68293178, AV. - ROCA, CNEL.
-58.46007737,-34.6829041, AV. - ROCA, CNEL.
-58.46005129,-34.6829517, AV. - ROCA, CNEL.
-58.45996191,-34.68306095, AV. - ROCA, CNEL.
-58.45995449,-34.6829379, AV. - ROCA, CNEL.
-58.45986326,-34.68300551, AV. - ROCA, CNEL.
-58.45985955,-34.68306861, AV. - ROCA, CNEL.
-58.45268449,-34.67976124, AV. - ROCA, CNEL.
-58.45257492,-34.67985219, AV. - ROCA, CNEL.
-58.45374235,-34.67924606, AV. - ROCA, CNEL.
-58.45373188,-34.67921343, AV. - ROCA, CNEL.
-58.45369478,-34.67922587, AV. - ROCA, CNEL.
-58.45264265,-34.67924823, AV. - ROCA, CNEL.
-58.45246805,-34.67929834, AV. - ROCA, CNEL.
-58.45246811,-34.67887989, AV. - ROCA, CNEL.
-58.45240176,-34.67886736, AV. - ROCA, CNEL.
-58.45229545,-34.67913066, AV. - ROCA, CNEL.
-58.45224994,-34.67915418, AV. - ROCA, CNEL.
-58.45218349,-34.67919014, AV. - ROCA, CNEL.
-58.45213798,-34.67921213, AV. - ROCA, CNEL.
-58.45701093,-34.68374828, AV. - ROCA, CNEL.
-58.45699653,-34.68370122, AV. - ROCA, CNEL.
-58.45763566,-34.68383124, AV. - ROCA, CNEL.
-58.45760773,-34.68380284, AV. - ROCA, CNEL.
-58.45758329,-34.68378193, AV. - ROCA, CNEL.
-58.45753266,-34.68373784, AV. - ROCA, CNEL.
-58.45533077,-34.67835006, AV. - ROCA, CNEL.
-58.45522077,-34.67842613, AV. - ROCA, CNEL.
-58.45521816,-34.67835005, AV. - ROCA, CNEL.
-58.45502382,-34.67834373, AV. - ROCA, CNEL.
-58.45484989,-34.67834372, AV. - ROCA, CNEL.
-58.45359901,-34.68092966, AV. - ROCA, CNEL.
-58.45342006,-34.68084085, AV. - ROCA, CNEL.
-58.45332796,-34.68081128, AV. - ROCA, CNEL.
-58.46572864,-34.66686663, FRANCISCO, Gral."
-58.46571511,-34.66676197, FRANCISCO, Gral."
-58.46570606,-34.66684427, FRANCISCO, Gral."
-58.46570606,-34.66681056, FRANCISCO, Gral."
-58.46570377,-34.6668779, FRANCISCO, Gral."
-58.46569242,-34.66673204, FRANCISCO, Gral."
-58.46568565,-34.66678252, FRANCISCO, Gral."
-58.46568565,-34.66670771, FRANCISCO, Gral."
-58.4656766,-34.66685356, FRANCISCO, Gral."
-58.46566525,-34.66663289, FRANCISCO, Gral."
-58.46566296,-34.66681435, FRANCISCO, Gral."
-58.46566078,-34.66676197, FRANCISCO, Gral."
-58.46565848,-34.66671519, FRANCISCO, Gral."
-58.46565848,-34.6666684, FRANCISCO, Gral."
-58.46564943,-34.66683301, FRANCISCO, Gral."
-58.46564714,-34.66673763, FRANCISCO, Gral."
-58.4656336,-34.66658619, FRANCISCO, Gral."
-58.46562456,-34.66680308, FRANCISCO, Gral."
-58.46562455,-34.66661792, FRANCISCO, Gral."
-58.46562226,-34.66669085, FRANCISCO, Gral."
-58.46561779,-34.66664416, FRANCISCO, Gral."
-58.4656155,-34.66677126, FRANCISCO, Gral."
-58.46559968,-34.66674701, FRANCISCO, Gral."
-58.4655951,-34.66671519, FRANCISCO, Gral."
-58.46558833,-34.66678253, FRANCISCO, Gral."
-58.46558833,-34.66659368, FRANCISCO, Gral."
