long,lat,coord_x,coord_y
-58.4775636069,-34.6450145297, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.4775587043,-34.645046711599996, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.477550640699995,-34.6450909731, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.4781292923,-34.6445670766, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.4781211175,-34.6445979068, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.478103346400005,-34.6446407272, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.4780951726,-34.644676875900004, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.4781648856,-34.6441691781, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.478143729399996,-34.6441906349, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.4781032605,-34.6441758565, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO
-58.4556246787,-34.684154119, AV. - ROCA, CNEL.
-58.45560985229999,-34.6839818548, AV. - ROCA, CNEL.
-58.4554199499,-34.6842586729, AV. - ROCA, CNEL.
-58.4553343009,-34.6840926243, AV. - ROCA, CNEL.
-58.4548409797,-34.6837203927, GRAL., AV. - ROCA
-58.454729356,-34.6836035601, GRAL., AV. - ROCA
-58.45462504100001,-34.6835173765, GRAL., AV. - ROCA
-58.45448733560001,-34.6834158662, GRAL., AV. - ROCA
-58.454353340699996,-34.683314356, GRAL., AV. - ROCA
-58.4542490271,-34.6832221324, GRAL., AV. - ROCA
-58.4541336937,-34.6831144935, GRAL., AV. - ROCA
-58.454048040500005,-34.683025245799996, GRAL., AV. - ROCA
-58.4539512591,-34.6829145432, GRAL., AV. - ROCA
-58.4538209756,-34.6828160976, GRAL., AV. - ROCA
-58.461413495500004,-34.6820967118, AV. - ROCA, CNEL.
-58.4612236212,-34.6821243836, AV. - ROCA, CNEL.
-58.4610859075,-34.6821551206, AV. - ROCA, CNEL.
-58.46101890479999,-34.682215155, AV. - ROCA, CNEL.
-58.4608736605,-34.6822859153, AV. - ROCA, CNEL.
-58.46078614060001,-34.6824196863, AV. - ROCA, CNEL.
-58.460763881300004,-34.682339729, AV. - ROCA, CNEL.
-58.460637298900004,-34.6823212476, AV. - ROCA, CNEL.
-58.4605981219,-34.682390476799995, AV. - ROCA, CNEL.
-58.460467826599995,-34.682468899, AV. - ROCA, CNEL.
-58.4604156669,-34.6824227447, AV. - ROCA, CNEL.
-58.460290938199996,-34.6824473514, AV. - ROCA, CNEL.
-58.460181159399994,-34.682471958200004, AV. - ROCA, CNEL.
-58.460123431199996,-34.6825349671, AV. - ROCA, CNEL.
-58.4600750934,-34.682411920700005, AV. - ROCA, CNEL.
-58.4600471551,-34.6824965645, AV. - ROCA, CNEL.
-58.45990933,-34.6825641687, AV. - ROCA, CNEL.
-58.459838622700005,-34.6824273299, AV. - ROCA, CNEL.
-58.4595723562,-34.6825749777, AV. - ROCA, CNEL.
-58.4595556629,-34.6825072798, AV. - ROCA, CNEL.
-58.4594216556,-34.6826011152, AV. - ROCA, CNEL.
-58.4593099103,-34.6826687195, AV. - ROCA, CNEL.
