id_arbol,altura_tot,diametro,inclinacio
1,6,35,0
2,6,35,0
3,6,35,0
4,17,50,0
5,17,50,0
6,17,50,0
7,17,50,0
8,26,40,0
9,26,40,0
10,26,40,0
11,10,35,0
12,10,35,0
13,10,35,0
14,10,35,0
15,5,12,0
16,5,12,0
17,5,12,0
18,5,12,0
19,5,12,0
20,5,12,0
21,5,12,0
22,5,12,0
23,5,12,0
24,5,12,0
25,22,40,0
26,22,40,0
27,22,40,0
28,22,40,0
29,22,40,0
30,22,40,0
31,22,40,0
32,22,40,0
33,22,40,0
34,22,40,0
35,22,40,0
36,22,40,0
37,22,40,0
38,22,40,0
39,22,40,0
40,22,40,0
41,22,40,0
42,22,40,0
43,22,40,0
44,22,40,0
45,22,40,0
46,22,40,0
47,22,40,0
48,21,50,0
49,21,50,0
50,21,50,0
51,21,50,0
52,21,50,0
53,21,50,0
54,21,50,0
55,21,50,0
56,21,50,0
57,21,50,0
58,21,50,0
59,21,50,0
60,21,50,0
61,21,50,0
62,21,50,0
63,21,50,0
64,21,50,0
65,5,12,0
66,5,12,0
67,5,12,0
68,5,12,0
69,5,12,0
70,5,12,0
71,5,12,0
72,5,12,0
73,9,40,0
74,9,40,0
75,8,20,0
76,8,20,0
77,8,20,0
78,7,20,0
79,7,20,0
80,7,20,0
81,7,20,0
82,7,20,0
83,7,20,0
84,7,20,0
85,7,20,0
86,6,25,15
87,6,25,15
88,3,5,0
89,3,5,0
90,3,5,0
91,3,5,0
92,9,22,20
93,9,22,20
94,9,22,20
95,9,22,20
96,9,22,20
97,10,50,0
98,10,50,0
99,10,50,0
100,12,15,0
101,12,15,0
102,12,15,0
103,12,15,0
104,12,15,0
105,12,15,0
106,12,15,0
107,12,15,0
108,12,15,0
109,12,15,0
110,12,15,0
111,12,15,0
112,12,15,0
113,12,15,0
114,12,15,0
115,12,15,0
116,12,15,0
117,12,15,0
118,12,15,0
119,12,15,0
120,12,15,0
121,12,15,0
122,12,15,0
123,12,15,0
124,12,15,0
125,12,15,0
126,12,15,0
127,12,15,0
128,12,15,0
129,12,15,0
130,12,15,0
131,12,15,0
132,12,15,0
133,12,15,0
134,12,15,0
135,12,15,0
136,12,15,0
137,12,15,0
138,12,15,0
139,12,15,0
140,12,15,0
141,12,15,0
142,12,15,0
143,12,15,0
144,12,15,0
145,12,15,0
146,12,15,0
147,12,15,0
148,12,15,0
149,12,15,0
150,12,15,0
151,12,15,0
152,12,15,0
153,12,15,0
154,12,15,0
155,12,15,0
156,12,15,0
157,12,15,0
158,12,15,0
159,12,15,0
160,12,15,0
161,12,15,0
162,12,15,0
163,12,15,0
164,12,15,0
165,12,15,0
166,5,10,0
167,5,10,0
168,5,10,0
169,5,10,0
170,5,10,0
171,5,10,0
172,5,10,0
173,5,10,0
174,5,10,0
175,5,10,0
176,5,10,0
177,5,10,0
178,5,10,0
179,5,10,0
180,5,10,0
181,5,10,0
182,5,10,0
183,5,10,0
184,5,10,0
185,12,25,0
186,12,25,0
187,12,25,0
188,12,25,0
189,12,25,0
190,14,47,0
191,14,47,0
192,14,47,0
193,14,47,0
194,14,47,0
195,14,47,0
196,14,47,0
197,14,47,0
198,14,47,0
199,14,47,0
200,14,47,0
201,14,47,0
202,14,47,0
203,14,47,0
204,7,14,0
205,7,14,0
206,7,14,0
207,7,14,0
208,7,14,0
209,7,14,0
210,2,4,0
211,2,4,0
212,2,4,0
213,2,4,0
214,2,4,0
215,2,4,0
216,4,15,0
217,4,15,0
218,4,15,0
219,4,15,0
220,4,15,0
221,4,15,0
222,4,15,0
223,4,15,0
224,4,15,0
225,4,15,0
226,4,15,0
227,4,15,0
228,4,15,0
229,4,15,0
230,4,15,0
231,9,35,0
232,9,35,0
233,9,35,0
234,9,35,0
235,9,35,0
236,9,35,0
237,6,30,0
238,6,30,0
239,6,30,0
240,6,30,0
241,6,30,0
242,6,30,0
243,6,30,0
244,6,30,0
245,6,30,0
246,6,30,0
247,6,30,0
248,6,30,0
249,6,30,0
250,6,30,0
251,6,30,0
252,5,12,7
253,5,12,7
254,5,12,7
255,5,12,7
256,5,12,7
257,5,12,7
258,5,12,7
259,5,12,7
260,5,12,7
261,5,12,7
262,5,12,7
263,5,12,7
264,5,12,7
265,5,12,7
266,5,12,7
267,5,12,7
268,5,12,7
269,5,12,7
270,5,12,7
271,5,12,7
272,5,26,0
273,5,26,0
274,5,26,0
275,5,26,0
276,5,26,0
277,5,26,0
278,5,26,0
279,5,26,0
280,5,26,0
281,5,26,0
282,5,26,0
283,5,26,0
284,5,26,0
285,5,26,0
286,5,26,0
287,5,26,0
288,5,26,0
289,5,26,0
290,5,26,0
291,5,26,0
292,5,26,0
293,5,26,0
294,5,26,0
295,5,26,0
296,5,26,0
297,5,26,0
298,5,26,0
299,5,26,0
300,5,26,0
301,5,26,0
302,5,26,0
303,5,26,0
304,5,26,0
305,5,26,0
306,5,26,0
307,5,26,0
308,5,26,0
309,8,22,0
310,8,22,0
311,8,22,0
312,8,22,0
313,8,22,0
314,8,22,0
315,8,22,0
316,8,22,0
317,8,22,0
318,8,22,0
319,8,22,0
320,8,22,0
321,8,22,0
322,8,22,0
323,8,22,0
324,8,22,0
325,9,35,0
