id_especie,nombre_com,nombre_cie
53,Washingtonia (Palmera washingtonia),Washingtonia filifera
53,Washingtonia (Palmera washingtonia),Washingtonia filifera
53,Washingtonia (Palmera washingtonia),Washingtonia filifera
65,Ombú,Phytolacca dioica
65,Ombú,Phytolacca dioica
65,Ombú,Phytolacca dioica
65,Ombú,Phytolacca dioica
42,Catalpa,Catalpa bignonioides
42,Catalpa,Catalpa bignonioides
42,Catalpa,Catalpa bignonioides
31,Ceibo,Erythrina crista-galli
31,Ceibo,Erythrina crista-galli
31,Ceibo,Erythrina crista-galli
31,Ceibo,Erythrina crista-galli
58,"""Brachichiton (Árbol botella"," Brachichito)"""
58,"""Brachichiton (Árbol botella"," Brachichito)"""
58,"""Brachichiton (Árbol botella"," Brachichito)"""
58,"""Brachichiton (Árbol botella"," Brachichito)"""
58,"""Brachichiton (Árbol botella"," Brachichito)"""
58,"""Brachichiton (Árbol botella"," Brachichito)"""
58,"""Brachichiton (Árbol botella"," Brachichito)"""
58,"""Brachichiton (Árbol botella"," Brachichito)"""
58,"""Brachichiton (Árbol botella"," Brachichito)"""
58,"""Brachichiton (Árbol botella"," Brachichito)"""
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
14,Álamo plateado,Populus alba
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
331,Acacia,Acacia sp.
331,Acacia,Acacia sp.
59,Roble sedoso (Grevillea),Grevillea robusta
59,Roble sedoso (Grevillea),Grevillea robusta
59,Roble sedoso (Grevillea),Grevillea robusta
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
333,Arce,Acer sp.
333,Arce,Acer sp.
333,Arce,Acer sp.
333,Arce,Acer sp.
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
35,Acacia de constantinopla,Albizia julibrissin
25,Palo borracho rosado,Ceiba speciosa
25,Palo borracho rosado,Ceiba speciosa
25,Palo borracho rosado,Ceiba speciosa
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
214,Álamo negro del Canada,Populus x canadensis
